1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         174.13          ---          ---      3.17800       181.00
Gets         174.13       173.78         0.35      2.54700       182.57
Waits          0.00          ---          ---      0.00000          ---
Totals       348.26       173.78         0.35      2.86200       363.57


Request Latency Distribution
Type     <= msec         Percent
GET       7.500        98.74
GET       7.600        98.78
GET       7.700        98.81
GET       7.800        98.91
GET       7.900        98.94
GET       8.000        98.98
GET       8.100        99.01
GET       8.200        99.04
GET       8.300        99.07
GET       8.400        99.13
GET       8.500        99.14
GET       8.600        99.17
GET       8.700        99.19
GET       8.800        99.23
GET       8.900        99.26
GET       9.000        99.28
GET       9.100        99.31
GET       9.200        99.33
GET       9.300        99.35
GET       9.400        99.39
GET       9.500        99.44
GET       9.600        99.50
GET       9.700        99.52
GET       9.800        99.54
GET       9.900        99.56
GET      10.000        99.69
GET      11.000        99.72
GET      12.000        99.76
GET      13.000        99.81
GET      14.000        99.82
GET      15.000        99.83
GET      17.000        99.84
GET      21.000        99.87
GET      23.000        99.89
GET      25.000        99.90
GET      26.000        99.93
GET      27.000        99.94
GET      28.000        99.96
GET      36.000        99.97
GET      37.000        99.99
GET      55.000       100.00
---
